"","grp","subj","sent","seg","item","acc","rt","segtype","contr"
"405","EC",24011,"SS","c",13,1,"865","other","SOSS"
"406","EC",24011,"SS","d",13,1,"844","other","SOSS"
"407","EC",24011,"SS","c",14,1,"519","other","SOSS"
"408","EC",24011,"SS","d",14,1,"541","other","SOSS"
"409","EC",24011,"SS","c",15,1,"427","other","SOSS"
"410","EC",24011,"SS","d",15,1,"259","other","SOSS"
"411","EC",24011,"SS","c",16,1,"811","other","SOSS"
"412","EC",24011,"SS","d",16,1,"785","other","SOSS"
"413","EC",24011,"SS","c",17,1,"369","other","SOSS"
"414","EC",24011,"SS","d",17,1,"2098","other","SOSS"
"415","EC",24011,"SS","c",18,0,"819","other","SOSS"
"416","EC",24011,"SS","d",18,0,"412","other","SOSS"
"417","EC",24011,"SS","c",19,1,"662","other","SOSS"
"418","EC",24011,"SS","d",19,1,"516","other","SOSS"
"419","EC",24011,"SS","c",20,1,"910","other","SOSS"
"420","EC",24011,"SS","d",20,1,"980","other","SOSS"
"421","EC",24012,"SO","c",11,0,"383","other","SOSS"
"422","EC",24012,"SO","d",11,0,"244","other","SOSS"
"423","EC",24012,"SO","c",12,1,"375","other","SOSS"
"424","EC",24012,"SO","d",12,1,"48","other","SOSS"
"425","EC",24012,"SO","c",13,1,"101","other","SOSS"
"426","EC",24012,"SO","d",13,1,"436","other","SOSS"
"427","EC",24012,"SO","c",15,0,"59","other","SOSS"
"428","EC",24012,"SO","d",15,0,"303","other","SOSS"
"429","EC",24012,"SO","c",16,1,"419","other","SOSS"
"430","EC",24012,"SO","d",16,1,"445","other","SOSS"
"431","EC",24012,"SO","c",17,1,"224","other","SOSS"
"432","EC",24012,"SO","d",17,1,"272","other","SOSS"
"433","EC",24012,"SO","c",18,0,"338","other","SOSS"
"434","EC",24012,"SO","d",18,0,"1995","other","SOSS"
"435","EC",24012,"SO","c",19,0,"373","other","SOSS"
"436","EC",24012,"SO","d",19,0,"533","other","SOSS"
"437","EC",24012,"SO","c",20,1,"264","other","SOSS"
"438","EC",24012,"SO","d",20,1,"247","other","SOSS"
"439","EC",24012,"SS","c",12,0,"238","other","SOSS"
"440","EC",24012,"SS","d",12,0,"372","other","SOSS"
"441","EC",24012,"SS","c",13,1,"457","other","SOSS"
"442","EC",24012,"SS","d",13,1,"387","other","SOSS"
"443","EC",24012,"SS","c",14,1,"285","other","SOSS"
"444","EC",24012,"SS","d",14,1,"362","other","SOSS"
"445","EC",24012,"SS","c",15,1,"483","other","SOSS"
"446","EC",24012,"SS","d",15,1,"475","other","SOSS"
"447","EC",24012,"SS","c",16,1,"253","other","SOSS"
"448","EC",24012,"SS","d",16,1,"476","other","SOSS"
"449","EC",24012,"SS","c",18,1,"72","other","SOSS"
"450","EC",24012,"SS","d",18,1,"2562","other","SOSS"
"451","EC",24012,"SS","c",19,0,"407","other","SOSS"
"452","EC",24012,"SS","d",19,0,"22","other","SOSS"
"453","EC",24012,"SS","c",20,0,"315","other","SOSS"
"454","EC",24012,"SS","d",20,0,"223","other","SOSS"
"455","EC",24013,"SO","c",11,1,"159","other","SOSS"
"456","EC",24013,"SO","d",11,1,"69","other","SOSS"
